yearid,source_type,fuel,pollutantid,pollutantname,sourcetypeid,fueltypeid,payload,inventory,activity,emission_factor,units
2024,Refuse Trucks,Gasoline,122,Non-carbon Organic Matter (NCOM),51,1,9,59.34063786,3976108.115,1.65826E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,123,Total Organic Matter (TOM),51,1,9,356.0433523,3976108.115,9.94952E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,124,Residual PM (NonECNonSO4NonOM),51,1,9,63.23000103,3976108.115,1.76694E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,1,Total Gaseous Hydrocarbons,51,2,9,299010.5311,1097213840,3.02798E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,2,Carbon Monoxide (CO),51,2,9,2474259.469,1097213840,0.00025056,kg/ton-km 
2024,Refuse Trucks,Diesel,3,Oxides of Nitrogen (NOx),51,2,9,5227257.938,1097213840,0.000529347,kg/ton-km 
2024,Refuse Trucks,Diesel,5,Methane (CH4),51,2,9,34352.07353,1097213840,3.47872E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,6,Nitrous Oxide (N2O),51,2,9,216756.5638,1097213840,2.19502E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,20,Benzene,51,2,9,1520.664811,1097213840,1.53993E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,24,"1,3-Butadiene",51,2,9,503.444975,1097213840,5.09822E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,25,Formaldehyde,51,2,9,17841.22169,1097213840,1.80672E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,26,Acetaldehyde,51,2,9,9059.62077,1097213840,9.17437E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,27,Acrolein,51,2,9,1442.72905,1097213840,1.461E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,30,Ammonia (NH3),51,2,9,86836.16645,1097213840,8.7936E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,31,Sulfur Dioxide (SO2),51,2,9,6366.890691,1097213840,6.44753E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,35,Nitrate (NO3),51,2,9,411.8563831,1097213840,4.17073E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,36,Ammonium (NH4),51,2,9,816.7465561,1097213840,8.27091E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,51,Chloride,51,2,9,294.9344216,1097213840,2.9867E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,52,Sodium,51,2,9,163.2590308,1097213840,1.65327E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,53,Potassium,51,2,9,48.7260281,1097213840,4.93432E-09,kg/ton-km 
2024,Refuse Trucks,Diesel,54,Magnesium,51,2,9,37.91567677,1097213840,3.83959E-09,kg/ton-km 
2024,Refuse Trucks,Diesel,55,Calcium,51,2,9,830.778934,1097213840,8.41302E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,56,Titanium,51,2,9,21.14003196,1097213840,2.14078E-09,kg/ton-km 
2024,Refuse Trucks,Diesel,57,Silicon,51,2,9,505.6229587,1097213840,5.12027E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,58,Aluminum,51,2,9,142.3581127,1097213840,1.44161E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,59,Iron,51,2,9,345.5552246,1097213840,3.49932E-08,kg/ton-km 
2024,Refuse Trucks,Diesel,66,Manganese Compounds,51,2,9,1.348297582,1097213840,1.36538E-10,kg/ton-km 
2024,Refuse Trucks,Diesel,79,Non-Methane Hydrocarbons,51,2,9,264658.4562,1097213840,2.68011E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,87,Volatile Organic Compounds,51,2,9,287713.7056,1097213840,2.91358E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,90,Atmospheric CO2,51,2,9,1886393919,1097213840,0.191028692,kg/ton-km 
2024,Refuse Trucks,Diesel,91,Total Energy Consumption,51,2,9,24115947.77,1097213840,0.00244214,MMBTU/ton-km 
2024,Refuse Trucks,Diesel,98,CO2 Equivalent,51,2,9,1951803593,1097213840,0.197652507,kg/ton-km 
2024,Refuse Trucks,Diesel,100,Primary Exhaust PM10  - Total,51,2,9,133273.1985,1097213840,1.34961E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,106,Primary PM10 - Brakewear Particulate,51,2,9,119170.132,1097213840,1.2068E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,107,Primary PM10 - Tirewear Particulate,51,2,9,30077.51293,1097213840,3.04585E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,110,Primary Exhaust PM2.5 - Total,51,2,9,122610.9618,1097213840,1.24164E-05,kg/ton-km 
2024,Refuse Trucks,Diesel,111,Organic Carbon,51,2,9,34986.57332,1097213840,3.54297E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,112,Elemental Carbon,51,2,9,68028.63141,1097213840,6.88903E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,115,Sulfate Particulate,51,2,9,6434.743325,1097213840,6.51625E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,116,Primary PM2.5 - Brakewear Particulate,51,2,9,14896.26707,1097213840,1.50849E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,117,Primary PM2.5 - Tirewear Particulate,51,2,9,4511.604483,1097213840,4.56875E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,118,Composite - NonECPM,51,2,9,54582.32327,1097213840,5.52737E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,119,H2O (aerosol),51,2,9,0,1097213840,0,kg/ton-km 
2024,Refuse Trucks,Diesel,121,CMAQ5.0 Unspeciated (PMOTHR),51,2,9,2544.796384,1097213840,2.57703E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,122,Non-carbon Organic Matter (NCOM),51,2,9,6997.314096,1097213840,7.08594E-07,kg/ton-km 
2024,Refuse Trucks,Diesel,123,Total Organic Matter (TOM),51,2,9,41983.88917,1097213840,4.25157E-06,kg/ton-km 
2024,Refuse Trucks,Diesel,124,Residual PM (NonECNonSO4NonOM),51,2,9,6163.689483,1097213840,6.24176E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),1,Total Gaseous Hydrocarbons,51,3,9,2507044.402,121090574.1,0.002300431,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),2,Carbon Monoxide (CO),51,3,9,3648665.003,121090574.1,0.003347967,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),3,Oxides of Nitrogen (NOx),51,3,9,135948.3601,121090574.1,0.000124744,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),5,Methane (CH4),51,3,9,2404255.399,121090574.1,0.002206113,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),6,Nitrous Oxide (N2O),51,3,9,11002.9382,121090574.1,1.00962E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),20,Benzene,51,3,9,241.8518058,121090574.1,2.2192E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),21,Ethanol,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),24,"1,3-Butadiene",51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),25,Formaldehyde,51,3,9,15503.37096,121090574.1,1.42257E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),26,Acetaldehyde,51,3,9,13161.32651,121090574.1,1.20767E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),27,Acrolein,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),30,Ammonia (NH3),51,3,9,22561.93638,121090574.1,2.07025E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),31,Sulfur Dioxide (SO2),51,3,9,1048.746206,121090574.1,9.62316E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),35,Nitrate (NO3),51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),36,Ammonium (NH4),51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),51,Chloride,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),52,Sodium,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),53,Potassium,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),54,Magnesium,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),55,Calcium,51,3,9,3.856196959,121090574.1,3.5384E-09,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),56,Titanium,51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),57,Silicon,51,3,9,5.141590722,121090574.1,4.71786E-09,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),58,Aluminum,51,3,9,7.712387007,121090574.1,7.07678E-09,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),59,Iron,51,3,9,2.142330911,121090574.1,1.96577E-09,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),66,Manganese Compounds,51,3,9,0.161050443,121090574.1,1.47778E-10,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),79,Non-Methane Hydrocarbons,51,3,9,102788.8196,121090574.1,9.43177E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),87,Volatile Organic Compounds,51,3,9,95593.59548,121090574.1,8.77154E-05,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),90,Atmospheric CO2,51,3,9,198082591.7,121090574.1,0.181757969,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),91,Total Energy Consumption,51,3,9,3180339.574,121090574.1,0.002918238,MMBTU/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),98,CO2 Equivalent,51,3,9,260684779.6,121090574.1,0.23920091,kg/ton-km 
