sector,scc,equipment,flowname,FlowContext,ProcessContext,,,,
Commercial,2265006015,4-Str Air Compressors,4-stroke air compressors,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Commercial,2267006015,LPG - Air Compressors,air compressors,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2260003040,2-Str Other General Industrial Eqp,2-stroke other general industrial equipment,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2265003020,4-Str Forklifts,4-stroke forklifts,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2265003040,4-Str Other General Industrial Eqp,4-stroke other general industrial equipment,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2265003050,4-Str Other Material Handling Eqp,4-stroke other material handling equipment,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2267003020,LPG - Forklifts,forklifts,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2267003040,LPG - Other General Industrial Eqp,other general industrial equipment,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Industrial,2267003050,LPG - Other Material Handling Eqp,other material handling equipment,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,56: Administrative and Support and Waste Management and Remediation Services / 5612: Facilities Support Services,,,,
Lawn/Garden,2260004021,2-Str Chain Saws < 6 HP (com),"2-stroke chain saw, commercial use, <6HP",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2260004031,2-Str Leafblowers/Vacuums (com),"2-stroke leafblowers vacuums, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2260004026,2-Str Trimmers/Edgers/Brush Cutter (com),"2-stroke trimmers edgers brush cutter, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2265004011,4-Str Lawn mowers (Com),"4-stroke lawn mowers, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2265004031,4-Str Leafblowers/Vacuums (com),"4-stroke leafblowers/vacuums, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2265004076,4-Str Other Lawn & Garden Eqp. (com),"4-stroke other lawn and garden equipment, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
Lawn/Garden,2265004026,4-Str Trimmers/Edgers/Brush Cutter (com),"4-stroke trimmers/edgers/brush cutter, commercial use",56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,56: Administrative and Support and Waste Management and Remediation Services / 5617: Services to Buildings and Dwellings,,,,
