SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
MOVES,Benzene,,air,kg,=,1,Benzene,565c5d1a-1e0e-35f3-82a0-4845c43d3dcf,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(a)pyrene gas,,air,kg,=,1,Benzo[a]fluoranthene,afa16840-ff2c-355c-84b6-6ce028c12439,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(a)pyrene particle,,air,kg,=,1,Benzo[a]fluoranthene,afa16840-ff2c-355c-84b6-6ce028c12439,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(b)fluoranthene gas,,air,kg,=,1,Benzo(b)fluoranthene,920c61f8-5c4a-3900-b070-9a437d2738b8,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(b)fluoranthene particle,,air,kg,=,1,Benzo(b)fluoranthene,920c61f8-5c4a-3900-b070-9a437d2738b8,emission/air,kg,Chen,,12/8/2025
MOVES,"Benzo(g,h,i)perylene gas",,air,kg,=,1,Benzo[ghi]fluoranthene,7837257b-ed43-332d-993a-20991cc8f326,emission/air,kg,Chen,,12/8/2025
MOVES,"Benzo(g,h,i)perylene particle",,air,kg,=,1,Benzo[ghi]fluoranthene,7837257b-ed43-332d-993a-20991cc8f326,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(k)fluoranthene gas,,air,kg,=,1,Benzo[k]fluoranthene,fcf65d36-ae15-3066-80c2-b624e04c6380,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(k)fluoranthene particle,,air,kg,=,1,Benzo[k]fluoranthene,fcf65d36-ae15-3066-80c2-b624e04c6380,emission/air,kg,Chen,,12/8/2025
MOVES,Carbon Monoxide (CO),,air,kg,=,1,Carbon monoxide,187c525c-3715-388c-b303-a0671524a615,emission/air,kg,Chen,,12/8/2025
MOVES,Chromium 6+,,air,kg,=,1,Chromium(VI),ac249128-5489-3eb8-bfb8-61c0b93d2e07,emission/air,kg,Chen,,12/8/2025
MOVES,Chrysene gas,,air,kg,=,1,Chrysene,993fb955-f686-37f7-96e1-22b8c2a35ced,emission/air,kg,Chen,,12/8/2025
MOVES,Chrysene particle,,air,kg,=,1,Chrysene,993fb955-f686-37f7-96e1-22b8c2a35ced,emission/air,kg,Chen,,12/8/2025
MOVES,"Dibenzo(a,h)anthracene gas",,air,kg,=,1,"Dibenz[a,h]anthracene",e51f946b-179b-3580-9ba3-37299516be47,emission/air,kg,Chen,,12/8/2025
MOVES,"Dibenzo(a,h)anthracene particle",,air,kg,=,1,"Dibenz[a,h]anthracene",e51f946b-179b-3580-9ba3-37299516be47,emission/air,kg,Chen,,12/8/2025
MOVES,Ethanol,,air,kg,=,1,Ethanol,f9e94137-4a27-3973-a4d2-0d8bdafd2ade,emission/air,kg,Chen,,12/8/2025
MOVES,Ethyl Benzene,,air,kg,=,1,Ethylbenzene,7b2a26ef-86ec-39e1-82e6-016b31800e2b,emission/air,kg,Chen,,12/8/2025
MOVES,Fluoranthene gas,,air,kg,=,1,Fluoranthene,c89c263a-b0b7-34c9-a27c-d9ebf851c3cc,emission/air,kg,Chen,,12/8/2025
MOVES,Fluoranthene particle,,air,kg,=,1,Fluoranthene,c89c263a-b0b7-34c9-a27c-d9ebf851c3cc,emission/air,kg,Chen,,12/8/2025
MOVES,Fluorene gas,,air,kg,=,1,Fluorene,c5697dcb-8fd3-3046-b499-f34e33495b61,emission/air,kg,Chen,,12/8/2025
MOVES,Fluorene particle,,air,kg,=,1,Fluorene,c5697dcb-8fd3-3046-b499-f34e33495b61,emission/air,kg,Chen,,12/8/2025
MOVES,Formaldehyde,,air,kg,=,1,Formaldehyde,a257b8d3-62dd-37ad-b429-73d96c97165c,emission/air,kg,Chen,,12/8/2025
MOVES,Hexane,,air,kg,=,1,Hexane,7955b6e2-3ae6-315c-94f1-028d7faada34,emission/air,kg,Chen,,12/8/2025
MOVES,"Indeno(1,2,3,c,d)pyrene gas",,air,kg,=,1,"Indeno[1,2,3-cd]pyrene",e962ef47-cedd-36b6-b962-abacbab62a02,emission/air,kg,Chen,,12/8/2025
MOVES,"Indeno(1,2,3,c,d)pyrene particle",,air,kg,=,1,"Indeno[1,2,3-cd]pyrene",e962ef47-cedd-36b6-b962-abacbab62a02,emission/air,kg,Chen,,12/8/2025
MOVES,Manganese Compounds,,air,kg,=,1,Manganese compounds,c33548d3-5ccc-39da-b434-3c558a178cfd,emission/air,kg,Chen,,12/8/2025
MOVES,Mercury Divalent Gaseous,,air,kg,=,1,Mercury(II),59ebfa04-8747-377a-8e7f-a4392cc83e97,emission/air,kg,Chen,,12/8/2025
MOVES,Mercury Elemental Gaseous,,air,kg,=,1,Mercury,e2c65e04-f613-33db-9a6e-4cb4577b0005,emission/air,kg,Chen,,12/8/2025
MOVES,Mercury Particulate,,air,kg,=,1,Mercury,e2c65e04-f613-33db-9a6e-4cb4577b0005,emission/air,kg,Chen,,12/8/2025
MOVES,Methane (CH4),,air,kg,=,1,Methane,aab83476-ec6c-3742-af85-15d320b7ce80,emission/air,kg,Chen,,12/8/2025
MOVES,Naphthalene gas,,air,kg,=,1,Naphthalene,ebf3aeb4-7a46-3029-a8f8-83d68f4d4ce5,emission/air,kg,Chen,,12/8/2025
MOVES,Naphthalene particle,,air,kg,=,1,Naphthalene,ebf3aeb4-7a46-3029-a8f8-83d68f4d4ce5,emission/air,kg,Chen,,12/8/2025
MOVES,Nickel Compounds,,air,kg,=,1,Nickel compounds,d9d3dec9-f636-377d-a044-6b21d995c978,emission/air,kg,Chen,,12/8/2025
MOVES,NonHAPTOG,,air,kg,=,1,,,emission/air,kg,Chen,,12/8/2025
MOVES,Non-Methane Hydrocarbons,,air,kg,=,1,,,emission/air,kg,Chen,,12/8/2025
MOVES,Non-Methane Organic Gases,,air,kg,=,1,,,emission/air,kg,Chen,,12/8/2025
MOVES,Octachlorodibenzofuran,,air,kg,=,1,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",13433131-590e-318a-a284-a2f2e05a4a85,emission/air,kg,Chen,,12/8/2025
MOVES,Octachlorodibenzo-p-dioxin,,air,kg,=,1,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",07ba9a74-dccc-3f2b-8217-c7439eb41088,emission/air,kg,Chen,,12/8/2025
MOVES,Oxides of Nitrogen (NOx),,air,kg,=,1,Nitrogen oxides,4382ba18-dd21-3837-80b2-94283ef5490e,emission/air,kg,Chen,,12/8/2025
MOVES,Phenanthrene gas,,air,kg,=,1,Phenanthrene,12ae4a71-1402-36e9-ada8-fe6cb98c56ee,emission/air,kg,Chen,,12/8/2025
MOVES,Phenanthrene particle,,air,kg,=,1,Phenanthrene,12ae4a71-1402-36e9-ada8-fe6cb98c56ee,emission/air,kg,Chen,,12/8/2025
MOVES,Primary Exhaust PM10  - Total,,air,kg,=,1,"Particulate matter, ≤ 2.5μm",49a9c581-7c83-36b0-b1bd-455ea4c665a6,emission/air,kg,Chen,,12/8/2025
MOVES,Primary Exhaust PM2.5 - Total,,air,kg,=,1,"Particulate matter, ≤ 10μm",5a939c2b-cebf-3060-8862-4a8650caf6dd,emission/air,kg,Chen,,12/8/2025
MOVES,Propionaldehyde,,air,kg,=,1,Propionaldehyde,592fa548-20aa-36e9-b703-68be0ff6f30a,emission/air,kg,Chen,,12/8/2025
MOVES,Pyrene gas,,air,kg,=,1,Pyrene,b51b5cbd-b0cb-3104-b03b-4fbc12829a9e,emission/air,kg,Chen,,12/8/2025
MOVES,Pyrene particle,,air,kg,=,1,Pyrene,b51b5cbd-b0cb-3104-b03b-4fbc12829a9e,emission/air,kg,Chen,,12/8/2025
MOVES,Styrene,,air,kg,=,1,Styrene,69bc8b47-09b5-3a09-b7f4-3e4d2925ce5a,emission/air,kg,Chen,,12/8/2025
MOVES,Sulfur Dioxide (SO2),,air,kg,=,1,Sulfur dioxide,f4973035-59f5-3bdc-b257-b274dcc04e0f,emission/air,kg,Chen,,12/8/2025
MOVES,Toluene,,air,kg,=,1,Toluene,3f72fe9c-b003-38ee-b8d2-13a84f60506c,emission/air,kg,Chen,,12/8/2025
MOVES,Total Gaseous Hydrocarbons,,air,kg,=,1,Hydrocarbons,6a8ca31c-ede5-38b1-8c30-2d50fb499a55,emission/air,kg,Chen,,12/8/2025
MOVES,Total Organic Gases,,air,kg,=,1,,,emission/air,kg,Chen,,12/8/2025
MOVES,Volatile Organic Compounds,,air,kg,=,1,Volatile organic compounds,6f861846-1c4c-3fc9-a198-56b2d9abd83b,emission/air,kg,Chen,,12/8/2025
MOVES,Xylene,,air,kg,=,1,Xylene,aef9d0ff-6482-3b1d-a53e-4d738bdcd9b1,emission/air,kg,Chen,,12/8/2025
